UF;Leitos;
BA;81;
CE;34;
AL;45;
AL;20;
RJ;31;
RJ;50;
RJ;42;
MG;6;
RJ;40;
SP;69;
RJ;59;
RJ;8;
RJ;11;
MG;370;
ES;32;
RJ;220;
RJ;579;
AL;45;
MA;54;
CE;19;
RN;20;
BA;46;
PB;54;
PI;55;
PB;45;
MA;25;
MA;18;
BA;16;
PB;26;
PE;22;
CE;100;
SP;90;
SP;72;
ES;505;
RJ;204;
SP;206;
RJ;90;
AL;51;
PE;42;
MA;62;
CE;120;
RN;12;
AL;45;
SE;234;
AL;20;
PB;84;
PE;15;
AL;40;
PB;23;
GO;112;
MS;40;
RJ;256;
RJ;96;
ES;160;
MG;216;
SP;150;
ES;48;
MG;69;
SP;36;
RJ;58;
SP;30;
RJ;76;
SP;138;
SP;80;
SP;139;
BA;38;
AL;18;
PB;21;
AL;57;
PE;8;
CE;43;
BA;64;
PB;40;
BA;70;
CE;30;
BA;107;
CE;20;
CE;61;
RN;20;
MG;32;
SP;100;
MG;143;
RJ;247;
RJ;36;
RJ;120;
RJ;52;
RJ;33;
RJ;30;
RJ;50;
RJ;60;
SP;144;
RJ;100;
RJ;167;
MA;32;
RN;135;
AL;74;
PI;250;
BA;63;
GO;60;
MS;64;
GO;40;
GO;120;
GO;378;
MS;320;
MT;140;
MT;72;
GO;40;
MG;85;
MG;60;
RJ;36;
RJ;388;
SP;70;
MG;228;
BA;110;
MS;56;
GO;24;
GO;9;
GO;224;
GO;36;
MT;18;
RJ;367;
ES;115;
RJ;11;
RJ;8;
ES;34;
ES;56;
RJ;34;
PE;30;
BA;60;
MA;84;
MA;60;
RN;23;
MS;120;
MS;43;
MG;208;
SP;134;
RJ;227;
RJ;108;
SP;178;
SP;239;
MG;180;
MG;571;
RJ;220;
ES;200;
RJ;68;
SP;45;
GO;35;
MT;20;
MS;70;
GO;35;
GO;250;
GO;120;
MT;90;
MT;60;
MS;90;
MT;39;
GO;125;
MS;60;
GO;26;
MS;76;
GO;14;
GO;26;
GO;33;
GO;39;
GO;26;
GO;23;
GO;57;
RJ;42;
SP;151;
MG;39;
SP;462;
SP;158;
SP;170;
MG;350;
MS;70;
GO;294;
MS;200;
MT;214;
GO;90;
MS;200;
RJ;160;
MG;60;
RJ;209;
RJ;150;
SP;58;
SP;120;
SP;71;
SP;320;
ES;1790;
SP;86;
MG;3;
MG;24;
MG;488;
GO;50;
GO;10;
GO;10;
GO;44;
GO;10;
GO;39;
GO;59;
GO;35;
GO;50;
MT;22;
GO;26;
MS;44;
MS;90;
MS;28;
RJ;51;
MG;46;
MG;80;
RJ;75;
RJ;150;
MG;157;
SP;79;
GO;126;
GO;125;
GO;36;
GO;5;
GO;234;
GO;220;
GO;868;
RJ;100;
SP;375;
SP;124;
SP;680;
SP;72;
MG;40;
MG;39;
GO;74;
MT;104;
GO;18;
GO;22;
GO;20;
GO;10;
GO;42;
SP;106;
SP;326;
SP;1098;
MG;698;
MG;133;
ES;80;
GO;50;
GO;20;
GO;16;
MS;50;
GO;318;
GO;30;
MS;109;
GO;52;
MS;54;
MS;115;
GO;68;
GO;38;
MS;120;
GO;79;
SP;26;
RJ;210;
RJ;57;
RJ;142;
RJ;85;
RJ;40;
GO;35;
GO;40;
MS;100;
GO;22;
GO;21;
GO;31;
MT;78;
RJ;8;
ES;40;
SP;79;
SP;80;
MG;60;
SP;130;
SP;110;
SP;70;
RJ;188;
ES;319;
RJ;130;
SP;159;
SP;38;
MS;85;
GO;135;
GO;98;
GO;553;
GO;22;
GO;85;
MS;36;
SP;68;
SP;213;
MG;100;
MG;216;
SP;150;
RJ;300;
MG;87;
SP;30;
ES;87;
RJ;27;
RJ;500;
SP;12;
GO;10;
MT;42;
MT;86;
GO;36;
GO;27;
MT;88;
GO;15;
MT;140;
GO;28;
GO;32;
GO;20;
GO;13;
MS;114;
MS;40;
MS;90;
GO;64;
MT;461;
MS;161;
GO;32;
MS;24;
GO;80;
MG;204;
ES;172;
RJ;254;
RJ;100;
ES;170;
RJ;30;
SP;30;
SP;105;
MG;32;
RJ;628;
SP;138;
ES;152;
ES;64;
GO;60;
GO;1015;
MT;242;
GO;528;
MS;18;
GO;79;
GO;96;
MT;99;
GO;12;
MT;80;
MS;40;
MS;117;
GO;38;
MS;90;
GO;1724;
GO;70;
GO;87;
GO;28;
GO;70;
GO;27;
MS;60;
SP;46;
SP;125;
SP;82;
MG;50;
MG;87;
SP;145;
SP;15;
SP;180;
RJ;63;
RJ;156;
SP;92;
MG;180;
RJ;18;
SP;175;
GO;70;
GO;64;
GO;16;
GO;17;
GO;50;
GO;54;
GO;40;
MT;188;
MS;210;
GO;183;
MS;50;
GO;100;
GO;40;
SP;30;
ES;82;
RJ;340;
ES;35;
RJ;48;
RJ;76;
RJ;56;
SP;65;
MG;34;
SP;23;
SP;130;
RJ;160;
RJ;40;
SP;111;
GO;365;
GO;20;
GO;1200;
MS;50;
MS;109;
GO;20;
MT;56;
GO;80;
GO;24;
GO;54;
MS;130;
MS;200;
MT;262;
GO;40;
GO;210;
MS;282;
MT;216;
MT;50;
GO;146;
MS;50;
GO;55;
RJ;252;
ES;24;
RJ;223;
SP;520;
SP;364;
SP;15;
RJ;111;
SP;70;
RJ;120;
RJ;150;
ES;38;
MG;180;
RJ;28;
GO;45;
GO;24;
MS;103;
MS;122;
MT;23;
MS;61;
MS;88;
MG;60;
MG;69;
MG;35;
SP;160;
RJ;240;
RJ;190;
SP;674;
SP;154;
RJ;111;
SP;10;
RJ;135;
ES;75;
MS;38;
GO;24;
GO;68;
GO;40;
GO;42;
MS;32;
GO;70;
MS;66;
MS;20;
GO;31;
GO;40;
GO;16;
GO;60;
GO;40;
MS;60;
GO;16;
GO;24;
MS;15;
GO;53;
GO;39;
GO;88;
RJ;240;
SP;175;
RJ;215;
SP;336;
MG;185;
RJ;104;
MG;210;
MG;86;
RJ;82;
MG;118;
SP;79;
RJ;50;
MT;180;
MS;207;
GO;164;
MS;210;
MT;80;
MS;277;
GO;99;
MT;50;
GO;2675;
MS;22;
GO;162;
GO;202;
MT;218;
MS;110;
GO;60;
MT;147;
MS;98;
GO;25;
MS;76;
MT;300;
SP;330;
MG;84;
MG;21;
MG;24;
RJ;50;
SP;301;
ES;288;
MG;116;
SP;150;
ES;80;
MG;130;
MG;120;
ES;287;
SP;60;
GO;14;
MS;80;
MT;45;
GO;60;
MT;25;
MS;280;
GO;28;
GO;47;
GO;1420;
GO;38;
GO;64;
GO;34;
GO;18;
GO;48;
RJ;39;
ES;138;
RJ;228;
ES;23;
RJ;61;
RJ;60;
SP;245;
ES;100;
SP;259;
RJ;52;
SP;161;
SP;373;
MT;157;
GO;59;
MS;80;
MS;52;
GO;13;
MS;82;
MS;90;
GO;156;
MS;55;
GO;58;
MS;50;
GO;46;
GO;21;
GO;51;
RJ;61;
SP;64;
MG;194;
RJ;98;
RJ;10;
RJ;42;
GO;12;
